loc_x,loc_y,shot_type,shot_made_flag
151,64,Jump Shot,0.0
126,-23,Jump Shot,0.0
153,61,Jump Shot,0.0
0,0,Dunk,1.0
-85,13,Jump Shot,1.0
-164,76,Jump Shot,1.0
-8,69,Jump Shot,0.0
59,38,Jump Shot,1.0
154,202,Jump Shot,1.0
-71,253,Jump Shot,1.0
136,220,Jump Shot,1.0
-149,212,Jump Shot,1.0
-223,164,Jump Shot,0.0
-85,191,Jump Shot,0.0
47,257,Jump Shot,0.0
92,178,Jump Shot,0.0
-151,207,Jump Shot,1.0
-112,253,Jump Shot,0.0
62,2,Jump Shot,1.0
29,141,Jump Shot,0.0
0,0,Layup,1.0
-105,164,Jump Shot,0.0
-153,209,Jump Shot,0.0
-44,74,Jump Shot,0.0
108,132,Jump Shot,1.0
117,166,Jump Shot,0.0
0,0,Layup,0.0
-67,5,Jump Shot,0.0
-89,250,Jump Shot,0.0
-126,224,Jump Shot,0.0
204,156,Jump Shot,0.0
0,0,Layup,0.0
-71,31,Bank Shot,1.0
-5,227,Jump Shot,0.0
0,0,Layup,1.0
-241,41,Jump Shot,1.0
0,0,Layup,0.0
43,58,Jump Shot,1.0
0,0,Layup,1.0
0,0,Layup,1.0
0,0,Layup,1.0
-235,5,Jump Shot,0.0
51,286,Jump Shot,1.0
15,46,Jump Shot,1.0
0,0,Layup,0.0
-107,54,Jump Shot,0.0
-43,160,Jump Shot,0.0
0,0,Layup,0.0
90,225,Jump Shot,0.0
0,0,Layup,0.0
0,0,Dunk,1.0
-186,166,Jump Shot,1.0
-112,189,Jump Shot,1.0
0,0,Layup,1.0
135,224,Jump Shot,1.0
0,0,Layup,1.0
130,100,Jump Shot,1.0
51,189,Jump Shot,0.0
128,97,Jump Shot,0.0
-122,146,Jump Shot,1.0
-140,117,Jump Shot,0.0
0,0,Dunk,0.0
-13,31,Jump Shot,1.0
-10,66,Jump Shot,0.0
182,189,Jump Shot,0.0
0,0,Layup,0.0
0,0,Dunk,1.0
0,0,Layup,1.0
0,0,Dunk,1.0
-149,229,Jump Shot,1.0
149,209,Jump Shot,1.0
190,189,Jump Shot,0.0
131,217,Jump Shot,0.0
36,66,Jump Shot,1.0
112,237,Jump Shot,0.0
46,148,Jump Shot,0.0
-18,115,Jump Shot,1.0
0,0,Layup,1.0
-112,179,Jump Shot,1.0
-89,-9,Jump Shot,0.0
-136,219,Jump Shot,0.0
108,183,Jump Shot,0.0
6,18,Dunk,1.0
64,13,Jump Shot,1.0
-6,5,Layup,1.0
-166,178,Jump Shot,0.0
-33,61,Jump Shot,0.0
158,194,Jump Shot,0.0
46,51,Jump Shot,0.0
16,33,Jump Shot,1.0
-179,158,Jump Shot,0.0
-13,215,Jump Shot,1.0
-90,194,Jump Shot,0.0
146,171,Jump Shot,0.0
-199,15,Jump Shot,0.0
-228,0,Jump Shot,1.0
-225,10,Jump Shot,0.0
0,0,Dunk,1.0
-102,0,Jump Shot,1.0
-197,89,Jump Shot,0.0
-158,10,Jump Shot,1.0
-223,46,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,1.0
-207,3,Jump Shot,0.0
85,155,Jump Shot,0.0
-154,138,Jump Shot,1.0
154,-1,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,0.0
107,225,Jump Shot,1.0
187,169,Jump Shot,0.0
230,0,Jump Shot,1.0
0,0,Layup,0.0
117,220,Jump Shot,0.0
-2,245,Jump Shot,0.0
-151,38,Jump Shot,0.0
0,0,Dunk,1.0
113,135,Jump Shot,0.0
94,-1,Jump Shot,0.0
-103,186,Jump Shot,0.0
44,54,Jump Shot,1.0
-66,95,Jump Shot,0.0
187,189,Jump Shot,1.0
-136,74,Jump Shot,1.0
-143,115,Jump Shot,1.0
-131,66,Jump Shot,0.0
71,23,Jump Shot,0.0
-31,280,Jump Shot,0.0
-168,8,Jump Shot,1.0
-99,64,Jump Shot,1.0
-153,100,Jump Shot,0.0
0,0,Dunk,1.0
113,120,Jump Shot,1.0
-79,164,Jump Shot,1.0
172,179,Jump Shot,1.0
-174,189,Jump Shot,1.0
190,155,Jump Shot,1.0
-232,110,Jump Shot,0.0
-113,143,Jump Shot,0.0
-61,179,Jump Shot,0.0
-199,171,Jump Shot,0.0
-128,212,Jump Shot,1.0
66,240,Jump Shot,0.0
117,230,Jump Shot,0.0
0,0,Layup,0.0
-209,137,Jump Shot,1.0
0,0,Layup,1.0
164,71,Jump Shot,1.0
-233,8,Jump Shot,0.0
-187,156,Jump Shot,1.0
-225,122,Jump Shot,0.0
-220,161,Jump Shot,0.0
-214,33,Jump Shot,0.0
156,41,Jump Shot,0.0
77,43,Jump Shot,1.0
-227,-14,Jump Shot,0.0
204,166,Jump Shot,0.0
0,0,Layup,0.0
199,189,Jump Shot,0.0
-131,112,Jump Shot,1.0
-154,0,Jump Shot,0.0
39,15,Jump Shot,0.0
15,-6,Layup,0.0
1,-8,Layup,1.0
187,178,Jump Shot,1.0
148,163,Jump Shot,1.0
-205,71,Jump Shot,1.0
1,8,Layup,1.0
95,22,Jump Shot,0.0
117,41,Jump Shot,0.0
233,28,Jump Shot,0.0
1,-1,Layup,0.0
16,-3,Layup,0.0
0,13,Layup,0.0
3,10,Dunk,1.0
-225,110,Jump Shot,0.0
15,43,Jump Shot,0.0
131,210,Jump Shot,0.0
-3,51,Layup,1.0
-128,117,Jump Shot,0.0
0,0,Layup,1.0
166,-11,Jump Shot,1.0
24,257,Jump Shot,0.0
-158,107,Jump Shot,1.0
0,0,Layup,1.0
0,0,Dunk,1.0
77,255,Jump Shot,0.0
-110,72,Jump Shot,1.0
0,0,Layup,1.0
112,220,Jump Shot,1.0
0,0,Layup,0.0
-123,215,Jump Shot,0.0
0,0,Dunk,1.0
227,183,Jump Shot,0.0
230,-8,Jump Shot,0.0
172,26,Jump Shot,0.0
102,35,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
0,0,Layup,1.0
0,0,Layup,1.0
108,145,Jump Shot,1.0
227,31,Jump Shot,1.0
0,0,Layup,1.0
-154,197,Jump Shot,0.0
51,2,Jump Shot,1.0
176,161,Jump Shot,1.0
130,141,Jump Shot,1.0
0,0,Layup,0.0
-121,214,Jump Shot,0.0
-202,0,Jump Shot,0.0
143,197,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,0.0
0,0,Layup,1.0
67,201,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,1.0
-3,20,Layup,1.0
-97,137,Jump Shot,1.0
-108,23,Jump Shot,0.0
166,192,Jump Shot,0.0
-38,59,Jump Shot,0.0
-223,166,Jump Shot,1.0
154,153,Jump Shot,0.0
-25,273,Jump Shot,0.0
199,148,Jump Shot,1.0
141,56,Jump Shot,1.0
190,173,Jump Shot,0.0
62,77,Jump Shot,1.0
0,0,Dunk,1.0
-176,104,Jump Shot,0.0
0,0,Dunk,1.0
138,5,Jump Shot,1.0
110,10,Jump Shot,1.0
0,0,Layup,1.0
141,10,Jump Shot,0.0
-135,23,Jump Shot,1.0
0,0,Hook Shot,0.0
-72,169,Jump Shot,0.0
0,0,Layup,0.0
113,222,Jump Shot,0.0
151,0,Jump Shot,0.0
0,0,Layup,1.0
117,89,Jump Shot,1.0
158,207,Jump Shot,0.0
0,0,Layup,0.0
143,199,Jump Shot,0.0
0,0,Layup,0.0
-148,45,Jump Shot,1.0
0,0,Layup,1.0
131,-24,Jump Shot,0.0
0,0,Layup,1.0
-74,5,Jump Shot,0.0
-161,141,Jump Shot,1.0
0,0,Layup,0.0
43,26,Jump Shot,0.0
-168,141,Jump Shot,0.0
-145,220,Jump Shot,0.0
-225,-18,Jump Shot,0.0
-46,258,Jump Shot,1.0
0,0,Layup,0.0
72,23,Jump Shot,1.0
-151,214,Jump Shot,0.0
158,135,Jump Shot,1.0
28,5,Layup,1.0
13,145,Jump Shot,1.0
202,169,Jump Shot,0.0
67,12,Jump Shot,1.0
82,100,Jump Shot,0.0
75,260,Jump Shot,1.0
0,0,Layup,0.0
100,33,Jump Shot,1.0
-156,36,Jump Shot,0.0
64,13,Jump Shot,0.0
-143,219,Jump Shot,0.0
-25,46,Jump Shot,0.0
23,-5,Layup,1.0
10,2,Layup,1.0
0,0,Layup,0.0
-241,18,Jump Shot,0.0
146,41,Jump Shot,0.0
-59,0,Jump Shot,0.0
-169,186,Jump Shot,0.0
-148,30,Jump Shot,0.0
177,194,Jump Shot,0.0
0,0,Layup,1.0
0,0,Dunk,1.0
-154,-14,Jump Shot,0.0
-223,118,Jump Shot,0.0
41,51,Jump Shot,0.0
44,161,Jump Shot,1.0
0,0,Layup,0.0
138,210,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
112,-13,Jump Shot,1.0
159,-6,Jump Shot,0.0
204,238,Jump Shot,0.0
-10,204,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,1.0
0,0,Layup,1.0
-146,191,Jump Shot,0.0
31,54,Jump Shot,1.0
-110,95,Jump Shot,1.0
0,0,Layup,0.0
92,74,Jump Shot,0.0
0,0,Layup,1.0
-108,87,Jump Shot,1.0
100,151,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
0,0,Layup,0.0
-72,137,Jump Shot,1.0
0,0,Layup,1.0
0,0,Layup,1.0
0,0,Layup,0.0
0,0,Layup,0.0
186,7,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,1.0
-169,118,Jump Shot,0.0
0,0,Layup,1.0
80,181,Jump Shot,1.0
-102,148,Jump Shot,1.0
-48,148,Jump Shot,1.0
0,0,Layup,0.0
-181,199,Jump Shot,0.0
-100,160,Jump Shot,0.0
-164,209,Jump Shot,0.0
-130,114,Jump Shot,0.0
0,0,Layup,1.0
154,230,Jump Shot,1.0
0,38,Jump Shot,1.0
0,0,Layup,0.0
64,43,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,1.0
-154,0,Jump Shot,1.0
-118,222,Jump Shot,0.0
16,68,Jump Shot,1.0
0,114,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
0,0,Layup,1.0
0,0,Layup,0.0
0,0,Layup,1.0
52,22,Jump Shot,0.0
-64,250,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
0,0,Layup,1.0
56,104,Jump Shot,1.0
159,109,Jump Shot,1.0
72,0,Jump Shot,0.0
113,46,Jump Shot,1.0
58,168,Jump Shot,1.0
77,61,Jump Shot,1.0
-156,71,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,0.0
0,0,Layup,1.0
0,0,Layup,1.0
54,120,Jump Shot,1.0
0,0,Layup,1.0
0,0,Layup,1.0
0,0,Dunk,1.0
0,0,Layup,0.0
59,18,Jump Shot,1.0
154,112,Jump Shot,0.0
87,10,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,1.0
-195,25,Jump Shot,0.0
120,10,Jump Shot,0.0
0,0,Layup,0.0
-31,48,Jump Shot,0.0
75,187,Jump Shot,0.0
6,248,Jump Shot,1.0
29,191,Jump Shot,0.0
240,38,Jump Shot,1.0
0,0,Layup,1.0
212,150,Jump Shot,1.0
200,110,Jump Shot,1.0
-166,194,Jump Shot,1.0
-171,84,Jump Shot,1.0
-194,161,Jump Shot,0.0
-131,215,Jump Shot,0.0
-103,-24,Jump Shot,0.0
44,214,Jump Shot,0.0
199,-9,Jump Shot,1.0
190,164,Jump Shot,1.0
49,18,Jump Shot,0.0
84,242,Jump Shot,1.0
182,51,Jump Shot,0.0
222,135,Jump Shot,0.0
241,2,Jump Shot,0.0
-25,242,Jump Shot,0.0
-89,68,Jump Shot,0.0
85,17,Jump Shot,0.0
-72,-9,Jump Shot,0.0
-228,-3,Jump Shot,0.0
-176,183,Jump Shot,1.0
-113,245,Jump Shot,0.0
-5,276,Jump Shot,0.0
223,22,Jump Shot,0.0
-207,174,Jump Shot,0.0
225,-14,Jump Shot,0.0
0,0,Layup,1.0
-103,145,Jump Shot,1.0
18,278,Jump Shot,1.0
-6,54,Jump Shot,0.0
149,0,Jump Shot,0.0
0,0,Layup,0.0
158,0,Jump Shot,0.0
228,-6,Jump Shot,0.0
-10,250,Jump Shot,0.0
181,204,Jump Shot,0.0
0,0,Layup,1.0
-186,173,Jump Shot,1.0
159,186,Jump Shot,0.0
-187,161,Jump Shot,0.0
-85,127,Jump Shot,1.0
-107,143,Jump Shot,0.0
0,0,Dunk,1.0
94,178,Jump Shot,1.0
-75,122,Jump Shot,0.0
0,0,Dunk,1.0
-94,76,Jump Shot,0.0
-128,138,Jump Shot,0.0
0,0,Layup,0.0
223,114,Jump Shot,0.0
199,-8,Jump Shot,0.0
-151,151,Jump Shot,0.0
-125,161,Jump Shot,0.0
0,0,Layup,0.0
-194,148,Jump Shot,1.0
146,204,Jump Shot,0.0
-49,179,Jump Shot,0.0
167,5,Jump Shot,0.0
-99,166,Jump Shot,0.0
-3,224,Jump Shot,1.0
16,-3,Layup,1.0
136,115,Jump Shot,0.0
-174,187,Jump Shot,0.0
-57,238,Jump Shot,1.0
-227,140,Jump Shot,0.0
-163,202,Jump Shot,0.0
52,186,Jump Shot,1.0
0,56,Jump Shot,0.0
8,158,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,0.0
-99,114,Jump Shot,1.0
39,76,Jump Shot,1.0
-125,-8,Jump Shot,0.0
0,0,Dunk,1.0
-10,58,Jump Shot,0.0
0,0,Layup,1.0
133,210,Jump Shot,1.0
125,222,Jump Shot,1.0
-123,58,Jump Shot,1.0
218,156,Jump Shot,0.0
-110,242,Jump Shot,1.0
-210,155,Jump Shot,0.0
0,0,Layup,1.0
-141,202,Jump Shot,0.0
85,242,Jump Shot,0.0
184,-18,Jump Shot,1.0
133,158,Jump Shot,0.0
0,0,Layup,1.0
-159,71,Jump Shot,1.0
184,174,Jump Shot,0.0
-90,229,Jump Shot,1.0
-108,225,Jump Shot,1.0
169,168,Jump Shot,1.0
-85,229,Jump Shot,1.0
179,187,Jump Shot,1.0
-181,191,Jump Shot,1.0
158,179,Jump Shot,0.0
-191,209,Jump Shot,1.0
97,220,Jump Shot,1.0
169,174,Jump Shot,1.0
0,64,Jump Shot,1.0
136,202,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
-151,99,Jump Shot,0.0
153,148,Jump Shot,1.0
144,192,Jump Shot,0.0
0,0,Layup,0.0
-149,245,Jump Shot,0.0
-159,199,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,1.0
0,125,Jump Shot,1.0
-125,0,Jump Shot,0.0
0,0,Dunk,0.0
67,61,Jump Shot,1.0
153,194,Jump Shot,0.0
164,12,Jump Shot,0.0
-41,317,Jump Shot,0.0
0,0,Layup,1.0
71,25,Jump Shot,0.0
110,217,Jump Shot,0.0
-126,225,Jump Shot,1.0
-191,176,Jump Shot,1.0
-33,260,Jump Shot,1.0
161,217,Jump Shot,0.0
-159,229,Jump Shot,1.0
-8,250,Jump Shot,0.0
0,0,Layup,0.0
57,41,Jump Shot,1.0
0,0,Layup,1.0
-154,206,Jump Shot,1.0
-108,248,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
61,89,Jump Shot,0.0
130,224,Jump Shot,1.0
0,0,Layup,1.0
135,224,Jump Shot,0.0
97,240,Jump Shot,0.0
-182,209,Jump Shot,0.0
0,0,Dunk,1.0
-181,183,Jump Shot,1.0
-235,79,Jump Shot,0.0
0,0,Layup,0.0
36,406,Jump Shot,0.0
0,0,Dunk,1.0
-20,49,Jump Shot,0.0
-75,49,Jump Shot,1.0
0,0,Layup,1.0
0,0,Layup,1.0
-207,127,Jump Shot,1.0
0,0,Layup,1.0
-135,-21,Jump Shot,0.0
-156,224,Jump Shot,0.0
-210,145,Jump Shot,1.0
-149,150,Jump Shot,1.0
-166,196,Jump Shot,1.0
-80,82,Jump Shot,0.0
59,30,Jump Shot,0.0
117,229,Jump Shot,0.0
105,242,Jump Shot,0.0
0,0,Layup,1.0
-192,94,Jump Shot,0.0
-120,79,Jump Shot,1.0
136,224,Jump Shot,1.0
0,0,Layup,0.0
-228,66,Jump Shot,0.0
-2,95,Jump Shot,1.0
-138,233,Jump Shot,0.0
161,204,Jump Shot,1.0
-105,230,Jump Shot,0.0
20,5,Layup,0.0
-51,237,Jump Shot,0.0
-3,15,Layup,0.0
8,15,Layup,1.0
-6,10,Layup,1.0
-2,0,Layup,0.0
0,-1,Layup,1.0
-99,225,Jump Shot,1.0
-113,128,Jump Shot,0.0
8,-3,Dunk,1.0
0,257,Jump Shot,0.0
0,8,Layup,1.0
-23,41,Jump Shot,0.0
24,17,Layup,0.0
163,183,Jump Shot,0.0
108,138,Jump Shot,0.0
-194,166,Jump Shot,0.0
0,0,Layup,1.0
-146,146,Jump Shot,0.0
0,0,Layup,1.0
-166,199,Jump Shot,0.0
0,0,Layup,1.0
-151,237,Jump Shot,0.0
-143,224,Jump Shot,0.0
67,0,Jump Shot,0.0
-105,143,Jump Shot,1.0
0,0,Dunk,0.0
0,0,Layup,0.0
117,12,Jump Shot,0.0
0,0,Dunk,1.0
159,191,Jump Shot,0.0
0,0,Layup,0.0
118,160,Jump Shot,0.0
0,0,Dunk,0.0
-163,192,Jump Shot,0.0
225,-8,Jump Shot,1.0
0,0,Layup,0.0
164,189,Jump Shot,1.0
130,227,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
213,133,Jump Shot,1.0
-143,123,Jump Shot,0.0
23,56,Jump Shot,1.0
207,130,Jump Shot,0.0
0,0,Layup,1.0
11,261,Jump Shot,1.0
33,0,Jump Shot,1.0
64,97,Jump Shot,1.0
-168,196,Jump Shot,0.0
230,18,Jump Shot,1.0
232,7,Jump Shot,0.0
-71,248,Jump Shot,0.0
-184,187,Jump Shot,1.0
233,49,Jump Shot,1.0
0,0,Layup,1.0
-44,7,Jump Shot,1.0
-39,-8,Jump Shot,0.0
0,0,Layup,1.0
181,222,Jump Shot,1.0
-126,237,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,0.0
0,0,Layup,1.0
85,2,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,1.0
0,0,Layup,1.0
-164,102,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,1.0
-123,212,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,1.0
79,191,Jump Shot,1.0
0,0,Layup,0.0
117,110,Jump Shot,1.0
87,109,Jump Shot,0.0
16,130,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
61,22,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,0.0
72,280,Jump Shot,0.0
138,207,Jump Shot,1.0
0,0,Layup,0.0
125,265,Jump Shot,1.0
0,0,Layup,1.0
-158,224,Jump Shot,0.0
0,0,Layup,1.0
-168,240,Jump Shot,1.0
0,0,Layup,0.0
-57,265,Jump Shot,0.0
-240,-8,Jump Shot,1.0
52,253,Jump Shot,1.0
-174,209,Jump Shot,0.0
0,0,Layup,1.0
84,247,Jump Shot,0.0
8,35,Layup,0.0
-8,104,Jump Shot,1.0
158,12,Jump Shot,0.0
141,212,Jump Shot,0.0
43,43,Jump Shot,0.0
82,127,Jump Shot,0.0
-13,7,Layup,1.0
23,81,Jump Shot,0.0
199,-6,Jump Shot,1.0
-126,105,Jump Shot,0.0
-164,41,Jump Shot,0.0
23,127,Jump Shot,0.0
-8,105,Jump Shot,0.0
-13,51,Jump Shot,0.0
10,28,Layup,1.0
51,206,Jump Shot,0.0
18,23,Layup,1.0
69,18,Jump Shot,0.0
-11,10,Tip Shot,1.0
138,215,Jump Shot,0.0
167,179,Jump Shot,0.0
115,220,Jump Shot,0.0
0,0,Layup,1.0
15,35,Jump Shot,1.0
-72,248,Jump Shot,0.0
49,143,Jump Shot,0.0
0,0,Dunk,1.0
-136,49,Jump Shot,1.0
0,0,Layup,1.0
146,-3,Jump Shot,1.0
-20,23,Jump Shot,1.0
-149,0,Jump Shot,0.0
-57,702,Jump Shot,0.0
184,40,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,1.0
-204,102,Jump Shot,1.0
-186,71,Jump Shot,0.0
-223,140,Jump Shot,0.0
0,0,Layup,0.0
79,199,Jump Shot,1.0
151,61,Jump Shot,1.0
0,0,Layup,1.0
0,0,Layup,1.0
-156,43,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,0.0
179,79,Jump Shot,0.0
-36,217,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
0,0,Layup,1.0
-156,115,Jump Shot,1.0
-158,79,Jump Shot,0.0
189,-6,Jump Shot,1.0
143,174,Jump Shot,0.0
90,107,Jump Shot,0.0
212,138,Jump Shot,0.0
-131,181,Jump Shot,0.0
-20,202,Jump Shot,1.0
-41,214,Jump Shot,1.0
-56,225,Jump Shot,1.0
-80,169,Jump Shot,0.0
135,91,Jump Shot,1.0
-74,56,Jump Shot,1.0
0,0,Layup,1.0
-146,141,Jump Shot,1.0
0,0,Layup,1.0
135,145,Jump Shot,0.0
-39,79,Jump Shot,0.0
-103,68,Jump Shot,0.0
103,158,Jump Shot,0.0
153,204,Jump Shot,0.0
154,105,Jump Shot,0.0
120,125,Jump Shot,1.0
72,145,Jump Shot,1.0
0,0,Layup,0.0
52,65,Jump Shot,0.0
176,-5,Jump Shot,1.0
57,114,Jump Shot,1.0
51,196,Jump Shot,0.0
163,43,Jump Shot,0.0
0,0,Layup,1.0
75,122,Jump Shot,1.0
120,18,Jump Shot,0.0
26,132,Jump Shot,0.0
0,0,Layup,0.0
11,133,Jump Shot,1.0
-89,176,Jump Shot,1.0
77,28,Jump Shot,1.0
-138,20,Jump Shot,1.0
-108,114,Jump Shot,0.0
0,0,Tip Shot,0.0
0,0,Layup,0.0
123,5,Jump Shot,0.0
-18,77,Jump Shot,1.0
-97,105,Jump Shot,1.0
0,0,Layup,0.0
204,2,Jump Shot,0.0
172,-3,Jump Shot,0.0
-72,12,Jump Shot,0.0
0,0,Layup,1.0
0,0,Dunk,1.0
8,95,Jump Shot,1.0
0,168,Jump Shot,1.0
161,3,Jump Shot,1.0
0,0,Layup,1.0
148,8,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
0,0,Tip Shot,1.0
110,137,Jump Shot,0.0
1,71,Jump Shot,1.0
128,0,Jump Shot,0.0
164,0,Jump Shot,0.0
110,22,Jump Shot,0.0
0,0,Layup,1.0
-169,81,Jump Shot,1.0
0,0,Layup,1.0
169,77,Jump Shot,0.0
148,0,Jump Shot,0.0
-153,91,Jump Shot,1.0
153,-18,Jump Shot,1.0
148,-26,Jump Shot,0.0
0,0,Layup,0.0
0,0,Dunk,1.0
121,89,Jump Shot,0.0
-72,140,Jump Shot,1.0
-105,109,Jump Shot,1.0
-159,89,Jump Shot,0.0
0,0,Layup,1.0
144,120,Jump Shot,1.0
64,74,Jump Shot,0.0
169,56,Jump Shot,1.0
-118,158,Jump Shot,0.0
0,0,Layup,1.0
163,77,Jump Shot,0.0
-128,115,Jump Shot,1.0
-107,171,Jump Shot,1.0
151,23,Jump Shot,0.0
67,186,Jump Shot,0.0
140,-23,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
167,22,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
-44,132,Jump Shot,0.0
66,45,Jump Shot,0.0
-189,-3,Jump Shot,0.0
107,127,Jump Shot,0.0
148,133,Jump Shot,0.0
0,0,Layup,1.0
-130,143,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,0.0
0,0,Layup,1.0
159,-18,Jump Shot,0.0
-138,178,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,1.0
-192,210,Jump Shot,0.0
0,0,Layup,0.0
-2,194,Jump Shot,0.0
39,209,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
-3,53,Jump Shot,1.0
-168,197,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,1.0
-25,48,Jump Shot,1.0
0,0,Layup,0.0
-117,64,Jump Shot,0.0
-138,127,Jump Shot,0.0
11,127,Jump Shot,0.0
110,179,Jump Shot,0.0
0,186,Jump Shot,0.0
126,187,Jump Shot,1.0
-136,81,Jump Shot,0.0
0,0,Layup,1.0
-125,133,Jump Shot,0.0
0,0,Layup,0.0
0,0,Tip Shot,0.0
0,0,Layup,1.0
-56,120,Jump Shot,1.0
161,0,Jump Shot,0.0
0,0,Layup,0.0
-159,13,Jump Shot,0.0
161,105,Jump Shot,1.0
28,194,Jump Shot,1.0
126,156,Jump Shot,0.0
0,0,Layup,1.0
130,0,Jump Shot,0.0
-6,105,Jump Shot,0.0
-13,89,Jump Shot,0.0
0,0,Layup,0.0
125,77,Jump Shot,0.0
171,7,Jump Shot,0.0
-71,82,Jump Shot,1.0
-2,125,Jump Shot,1.0
11,146,Jump Shot,0.0
0,0,Layup,1.0
-100,130,Jump Shot,1.0
90,169,Jump Shot,1.0
62,122,Jump Shot,0.0
204,0,Jump Shot,1.0
138,68,Jump Shot,0.0
-100,92,Jump Shot,1.0
-145,118,Jump Shot,0.0
0,0,Layup,1.0
-66,51,Jump Shot,0.0
164,66,Jump Shot,0.0
0,0,Layup,0.0
-82,133,Jump Shot,0.0
0,0,Layup,0.0
-100,120,Jump Shot,0.0
23,191,Jump Shot,1.0
108,115,Jump Shot,0.0
-141,122,Jump Shot,1.0
-148,-1,Jump Shot,1.0
102,150,Jump Shot,0.0
0,0,Layup,1.0
51,199,Jump Shot,0.0
24,48,Jump Shot,0.0
-23,252,Jump Shot,0.0
-133,125,Jump Shot,0.0
174,-11,Jump Shot,1.0
-82,202,Jump Shot,0.0
0,127,Jump Shot,1.0
112,145,Jump Shot,1.0
-146,158,Jump Shot,0.0
135,100,Jump Shot,0.0
10,0,Layup,0.0
227,-18,Jump Shot,0.0
-182,86,Jump Shot,0.0
-200,166,Jump Shot,0.0
-130,248,Jump Shot,0.0
0,0,Layup,0.0
-123,171,Jump Shot,1.0
-163,127,Jump Shot,1.0
0,0,Layup,1.0
161,18,Jump Shot,0.0
117,123,Jump Shot,0.0
102,183,Jump Shot,0.0
-92,33,Jump Shot,1.0
92,160,Jump Shot,1.0
121,74,Jump Shot,0.0
123,30,Jump Shot,0.0
-154,10,Jump Shot,0.0
-143,25,Jump Shot,1.0
-176,5,Jump Shot,1.0
-75,253,Jump Shot,0.0
-176,15,Jump Shot,1.0
-138,35,Jump Shot,0.0
-145,214,Jump Shot,1.0
184,36,Jump Shot,1.0
-145,-8,Jump Shot,1.0
-151,209,Jump Shot,0.0
-94,202,Jump Shot,0.0
-61,171,Jump Shot,0.0
-62,169,Jump Shot,0.0
0,0,Layup,1.0
-192,13,Jump Shot,1.0
-135,158,Jump Shot,0.0
-29,33,Jump Shot,0.0
100,232,Jump Shot,0.0
15,105,Jump Shot,0.0
0,0,Dunk,1.0
-29,89,Jump Shot,1.0
-128,-19,Jump Shot,0.0
89,110,Jump Shot,0.0
-138,48,Jump Shot,0.0
0,0,Layup,0.0
-153,194,Jump Shot,1.0
110,155,Jump Shot,1.0
-168,199,Jump Shot,0.0
38,0,Jump Shot,1.0
0,0,Layup,0.0
113,237,Jump Shot,1.0
-166,214,Jump Shot,1.0
-133,174,Jump Shot,1.0
-154,105,Jump Shot,0.0
-112,176,Jump Shot,1.0
113,206,Jump Shot,0.0
-172,179,Jump Shot,1.0
-123,84,Jump Shot,1.0
0,0,Dunk,1.0
80,156,Jump Shot,0.0
143,164,Jump Shot,0.0
-113,171,Jump Shot,0.0
-79,143,Jump Shot,1.0
98,235,Jump Shot,0.0
-85,114,Jump Shot,0.0
98,138,Jump Shot,0.0
123,117,Jump Shot,0.0
171,112,Jump Shot,1.0
194,189,Jump Shot,0.0
34,100,Jump Shot,0.0
-102,151,Jump Shot,0.0
113,155,Jump Shot,0.0
